ResponseId,001 - Response,002 - Response,003 - Response,004 - Response,005 - Response,006 - Response,007 - Response,008 - Response,009 - Response,010 - Response,011 - Response,012 - Response,013 - Response,014 - Response,015 - Response,016 - Response,017 - Response,018 - Response,019 - Response,020 - Response,021 - Response,022 - Response,023 - Response,024 - Response,025 - Response,026 - Response,027 - Response,028 - Response,029 - Response,030 - Response,031 - Response,032 - Response,033 - Response,034 - Response,035 - Response,036 - Response,037 - Response,038 - Response,039 - Response,040 - Response,041 - Response,042 - Response,043 - Response,044 - Response,045 - Response,046 - Response,047 - Response,048 - Response,049 - Response,050 - Response,051 - Response,052 - Response,053 - Response,054 - Response,055 - Response,056 - Response,057 - Response,058 - Response,059 - Response,060 - Response,VVIQ - 01,VVIQ - 02,VVIQ - 03,VVIQ - 04,VVIQ - 05,VVIQ - 06,VVIQ - 07,VVIQ - 08,VVIQ - 09,VVIQ - 10,VVIQ - 11,VVIQ - 12,VVIQ - 13,VVIQ - 14,VVIQ - 15,VVIQ - 16
R_6hazd14Iv0vRJV7,two squares,,key,,,,,,,,,,,half circle,house,,,,,,Letter B,,ball string,rectangle,,,,eyes,,,,,,,,letter M,,,small circles,,,,,,cup,,,letter E,,,,pattern,,,,,tie,,,box cone,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",4. Clear and reasonably vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",4. Clear and reasonably vivid,"1. No image at all, you only 'know' that you are thinking of the object",5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision
R_5vQ6Xf1WugueDND,,,,,two chairs,,,,,,,swimming,,,,,,,,,cup,,,,letter j,triangle,,,lamp,letters id,,,,,balloon pair,volcano,,,,,,,,,,number 3,,letter x,unsure,,,,,,glass,,,umbrella,,cake,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid
R_5KpdGyLKCFDJS5r,,,,,,House,,Butterfly,Mountain,,,,,Flower,,,,,,,,Angle,,,,,,,,,,,,Volcano,,,,,,Toilet,,Window,Balloon,Stringray,,,Square,,,Broom,,,,,,Potato,,Umbrella,,Cube,4. Clear and reasonably vivid,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,"1. No image at all, you only 'know' that you are thinking of the object",5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_5hfsgpVmDBRxfr5,,ladder,,,,,,,,pitchfork,,,,,,,cupcake,,,,beanie,,,,stick,,,,,,,,,bow tie,bow,,,,butterfly,,pregnancy,,,,,,,,,person,tv,,,,flagpole,,hourglass,,hat,house,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_6Eu2oR7CwVBRwyp,,,,,,,,butterfly,butterfly,,,,,tent,arrow,,,,,,,,,,,,,,,,,,,camcorder,,,,,,rectangle with loop,,four squares,earring,don't know,,,don't know,,,don't know,,,,music note,,,,umbrella,house,house,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_6D6PBkrChss508l,,,,,,,,,,,,Don't know,,,square,Triangular diamond,flower,,,bird,2 circles,,head on shoulders,,,,,,,,person,,,,,,,,Ice cream cone,,,Looks like a triod with one more,Oval pile,,,,,,,,,,,music clef,wine glass,,,,vortex,house,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_7LLF8qLJV3UgQE1,,,,stingray,,,,butterfly,butterfly,,,,,,,,,ice cream,,,,,lollipop,windmill,,,,,boat,fish skeleton,,,,,,,,ice cream,bee,,,,,,,,snail,,heart,,,,tulip,,,,,umbrella,,house,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid
R_78Z3gy1mcpQ6lpQ,,,don't know,,,,,,,,rake,,cup,,,ice cream,,,don't know,,,,lollipop,,,,,,,,,wine glass,plunger,,film camera,,,,ice cream,,,,,,don't know,,,table,,,television,,,,,,,umbrella,,house,3. Moderately clear and vivid,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim
R_5WU8WIr7pguhYVA,,,,glasses,,,up arrow,butterfly,,,interval graph,,,,pentagon,,,,,,capital b,triangle circle,,chair,,,,,shovel,,stick person,,,,,,,,,,luggage tag,,,,,circle square,,,,,,,,,yield sign,,hourglass,,,house,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object"
R_59txcXaWbmO04SW,,two boxes,,,,,star,I imagined two b’s facing outward attached by a y in the middle ,,,,,,I picked your half a loop with two D’s back to back and their loops facing out,,,,,,,,duck beak,,,The figure is facing up with the short line on the left side and a long line on the right side,,,"Well, I picked your two round objects that are close together and touching because of two lines on both side sides of",,,,,,,party hat,,,,ice cream cone with three scoops ,,,four squares,,,I just picked her. I know above a capital L.,I picked two fives connected one facing up and one facing down,,,,,,,,I picture a capital and a lower case b with their backs touching.,,circle with a V towards the top,,,,house,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
