Ins 1,Ins 2,Ins 3,Ins 4,Canon,Num Ins,Num Obj
"<X> a capital letter ""H"".","<X> an identical capital letter ""H"" directly below the first figure so that the top of the new ""H"" just touches the bottom of the first figure.","<X> a third identical ""H"" just below the existing figure so that the top of the third ""H"" just touches the bottom of the figure.",,Ladder,3,3
"<X> a capital letter ""I"" consisting of three lines of equal length, one vertical, and two horizontal.","<X> an identical capital letter ""I"" directly to the right of the existing figure so that the left side of the new ""I"" just touches the right side of the figure.","<X> a third identical ""I"" just to the right of the existing figure so that the left of the third ""I"" just touches the right of the figure.",<X> the entire scene rotated 90 degrees to the left.,Ladder,4,3
"<X> two lowercase letter ""p"" next to each other.",<X> the right figure mirrored so that it points left.,<X> the figure on the left moved to the right so that it is just touching the other figure.,<X> the entire scene upside down.,Glasses,4,2
"<X> two lowercase letter ""b"" next to each other.",<X> the right figure mirrored so that it points left.,<X> the figure on the left moved to the right so that it is just touching the other figure.,,Glasses,3,2
"<X> a lowercase letter ""b"" to the left of a lowercase letter ""d"".",<X> the figure on the left moved to the right so that it just touches the other figure.,,,Glasses,2,2
"<X> the number ""8"" with two equally sized loops.",<X> the figure rotated 90 degrees to the right.,"<X> two short lines coming up, vertically, from the left and right sides of the figure.",,Glasses,3,3
"<X> two capital letter ""V"", one above the other with a small gap in-between.",<X> the entire scene upside down.,<X> a line running from the top of the top figure down through the other figure and slightly further beyond.,,Pine Tree,3,3
"<X> two capital letter ""B"" next to each other.",<X> the left figure mirrored so that it points left.,"<X> a capital letter ""Y"" in-between the two figures with a vertical line the same height as the existing vertical lines.",<X> all three figures aligned such that the three vertical lines are overlayed.,Butterfly,4,3
"<X> two capital letter ""B"" next to each other.",<X> the left figure mirrored so that it points left.,<X> the two figures aligned such that the two vertical lines are overlayed.,"<X> a lowercase letter ""v"" affixed to the middle of the top of the figure.",Butterfly,4,3
"<X> a capital letter ""E"" with all straight lines.",<X> the figure rotated 90 degrees to the left.,"<X> a capital letter ""I"", consisting of three evenly sized bars, where the top horizontal line is aligned to the horizontal line of the existing figure.",<X> the bottom horizontal line of the figure removed.,"Comb, Pitchfork",4,2
"<X> a capital letter ""E"" with all straight lines.",<X> the figure rotated 90 degrees to the left.,"<X> a capital letter ""T"" where the top horizontal line is aligned to the horizontal line of the figure.",,"Comb, Pitchfork",3,2
"<X> a capital letter ""D"".",<X> the figure rotated 90 degrees to the right.,"<X> a capital letter ""I"", consisting of three evenly sized bars, where the top horizontal line is aligned to the bottom of the figure.","<X> the top horizontal line of the ""I"" removed.",Goblet,4,2
"<X> a capital letter ""D"".",<X> the figure rotated 90 degrees to the right.,"<X> a capital letter ""T"" where the top horizontal line is aligned to the bottom of the figure.","<X> the ""T"" flipped over.",Goblet,4,2
"<X> a capital letter ""C"".",<X> the figure rotated 90 degrees to the right.,"<X> two smaller capital letter ""D"" at the base of the figure inside the loop. Both ""D"" are just touching the tips of the figure.","<X> the left ""D"" mirrored so that it is pointing left and the left most side is touching the point of the figure.",Computer Mouse,4,3
"<X> a capital letter ""H"" where all three lines are of equal length.",<X> the horizontal bar of the figure moved down to the bottom of the vertical lines forming two 90 degree angles.,"<X> a lowercase letter ""v"" centered on top of the figure.","<X> the ""v"" flipped over and aligned so that the figure forms a closed shape.",House,4,2
"<X> a capital letter ""D"".",<X> the figure rotated 90 degrees to the left.,"<X> a capital letter ""V"" below the figure such that the top two points of the ""V"" align with the bottom-left and bottom-right points of the figure.",,Ice cream,3,2
"<X> a capital letter ""D"".",<X> the figure rotated 90 degrees to the left.,"<X> a capital letter ""Y"" below the figure such that the top two points of the ""Y"" align with the bottom-left and bottom-right points of the figure.",<X> the vertical line removed from the figure.,Ice cream,4,2
