,Canon,Num Ins,Num Obj,Clarity Mean,Clarity Std,Clarity Median,Identifiability Mean,Identifiability Std,Identifiability Median,Unique Responses,Total Responses,Unique Response Ratio,Difficulty_Score,Difficulty_Rank
18,Computer Mouse,4,4,2.84,1.4880860190190617,3.0,1.92,1.3541048703848606,1.0,25,25,1.0,0.859309544470196,1
46,Computer Mouse,4,4,3.269230769230769,1.58254158549546,4.0,2.5384615384615383,1.8023653098246124,1.0,25,26,0.9615384615384616,0.8511684216890806,2
29,Fish bones,3,3,2.8461538461538463,1.4856313781406127,3.0,1.7692307692307692,1.2802551520840952,1.0,23,26,0.8846153846153846,0.7482943265112354,3
13,Computer Mouse,4,3,3.4166666666666665,1.3202482931462383,4.0,3.0,1.5,3.0,20,24,0.8333333333333334,0.7418457479906454,4
20,"Crystal ball, Person Outline",4,2,3.130434782608696,1.5123936635587902,3.0,2.4782608695652173,1.4998424617965511,2.0,22,23,0.9565217391304348,0.7380031106155932,5
30,Balloon,4,3,3.8260869565217392,1.2735494361632007,4.0,3.0,1.5322617553657476,2.0,20,23,0.8695652173913043,0.7324644726199256,6
43,Computer Mouse,4,3,3.6296296296296298,1.1594426549998909,4.0,2.7777777777777777,1.1331154474650633,3.0,27,27,1.0,0.7324056829010255,7
21,Fish,4,3,3.88,1.2749901960407382,4.0,3.0,1.469693845669907,3.0,20,25,0.8,0.7208342020855323,8
42,Mouse,3,3,3.625,1.378782675647858,4.0,2.4583333333333335,1.4713702985841313,2.0,23,24,0.9583333333333334,0.7158409820449328,9
45,"Lightbulb, Ice Cream",4,2,3.36,1.352922762023021,4.0,2.56,1.298614646459834,3.0,23,25,0.92,0.7069768704241428,10
51,Letter F,4,2,3.2962962962962963,1.4861038998325096,4.0,3.0,1.46565621758588,3.0,18,27,0.6666666666666666,0.6853657836486973,11
17,Ice cream,4,2,3.2962962962962963,1.299994724058092,3.0,2.814814814814815,1.3063105250776592,3.0,21,27,0.7777777777777778,0.6847597069012321,12
2,Glasses,4,2,3.5,1.3399457248166977,4.0,3.0454545454545454,1.2604931476238226,3.0,20,22,0.9090909090909091,0.6845673981674806,13
36,Clubs symbol,4,3,4.115384615384615,1.219297498780566,5.0,3.769230769230769,1.2498520622516862,4.0,21,26,0.8076923076923077,0.6776882472823819,14
49,Stick Figure,4,3,4.037037037037037,1.2614360271056593,4.0,4.0,1.4142135623730951,5.0,20,27,0.7407407407407407,0.6767454424369007,15
12,Goblet,4,2,3.6153846153846154,1.3323467750529825,4.0,3.3846153846153846,1.570813681281703,4.0,21,26,0.8076923076923077,0.6759272535859652,16
9,"Comb, Pitchfork",4,2,3.769230769230769,1.186711432349347,4.0,3.1538461538461537,1.5112986695683461,4.0,23,26,0.8846153846153846,0.6756697358651155,17
