,humans
0,1.8333333333333333
1,1.0833333333333335
2,1.1428571428571428
3,4.083333333333333
4,1.55
5,2.642857142857143
6,1.0
7,2.583333333333333
8,1.0714285714285714
9,1.8333333333333333
10,1.0
11,1.0
12,1.25
13,2.75
14,2.5
15,1.5833333333333335
16,1.0
17,1.0833333333333335
18,2.4166666666666665
19,1.25
20,2.25
21,1.9166666666666667
22,2.9642857142857144
23,2.75
24,1.0
25,1.0
26,3.916666666666667
27,4.916666666666666
28,1.8333333333333335
29,1.0
30,4.166666666666667
31,1.0833333333333335
32,1.0
33,1.25
34,2.1666666666666665
35,1.3333333333333335
36,4.916666666666666
37,1.4166666666666665
38,2.821428571428571
39,1.0
40,1.0
41,1.0
42,4.916666666666666
43,1.1666666666666665
44,4.75
45,4.833333333333334
46,1.25
47,3.0
48,1.0
49,4.0
50,4.0
51,1.0
52,1.0
53,4.333333333333333
54,4.333333333333333
55,1.8333333333333335
56,4.416666666666667
57,1.5
58,4.25
59,4.166666666666667
60,4.1
61,1.0833333333333335
62,2.0
63,1.75
64,4.0
65,2.166666666666667
66,4.666666666666666
67,4.916666666666666
68,1.1666666666666665
69,4.25
70,1.0833333333333335
71,2.0833333333333335
72,1.4166666666666665
73,1.0
74,1.0
75,1.0
76,2.083333333333333
77,4.583333333333334
78,1.0
79,3.583333333333333
80,4.25
81,1.4166666666666665
82,4.25
83,1.0
84,4.166666666666667
85,4.1
86,4.0
87,4.75
88,1.0
89,1.1666666666666665
90,4.083333333333333
91,4.0
92,1.25
93,1.0833333333333335
94,4.666666666666666
95,1.0
96,4.916666666666666
97,4.25
98,4.035714285714286
99,4.833333333333334
100,4.9
101,4.75
102,5.0
103,4.333333333333333
104,2.892857142857143
105,4.583333333333334
106,2.666666666666667
107,4.75
108,4.916666666666666
109,4.25
110,3.1666666666666665
111,3.5
112,4.166666666666667
113,1.0833333333333335
114,3.25
115,1.1666666666666665
116,2.333333333333333
117,4.285714285714286
118,4.333333333333333
119,2.916666666666667
120,1.5
121,1.25
122,4.333333333333333
123,4.416666666666667
124,4.25
125,1.6666666666666665
126,1.1
127,3.2142857142857144
128,2.75
129,5.0
130,4.0
131,2.3
132,4.25
133,5.0
134,3.1666666666666665
135,1.0
136,4.166666666666667
137,4.333333333333333
138,1.0
139,4.928571428571429
140,1.1666666666666665
141,4.0
142,2.4166666666666665
143,1.45
144,1.75
145,4.6
146,4.25
147,3.916666666666667
148,1.0
149,1.0
150,3.5
151,1.1666666666666665
152,4.333333333333333
153,2.071428571428571
154,1.0
155,1.8333333333333335
156,1.4166666666666665
157,4.333333333333333
158,1.0
159,1.0833333333333335
160,3.25
161,4.25
162,1.0
163,4.916666666666666
164,1.5
165,2.333333333333333
166,1.5833333333333335
167,2.9166666666666665
168,1.0
169,4.0
170,4.583333333333334
171,1.3571428571428572
172,4.666666666666666
173,1.0
174,4.333333333333333
175,1.0
176,4.25
177,4.083333333333333
178,4.9
179,4.833333333333334
180,4.333333333333333
181,1.1428571428571428
182,3.833333333333333
183,5.0
184,4.916666666666666
185,4.916666666666666
186,4.25
187,2.0833333333333335
188,4.75
189,2.6666666666666665
190,2.75
191,1.6071428571428572
192,2.9166666666666665
193,1.4285714285714286
194,4.357142857142858
195,1.2857142857142856
196,1.0
197,3.416666666666667
198,1.5
199,4.916666666666666
200,4.25
201,1.0
202,1.4166666666666665
203,1.0833333333333335
204,1.0
205,1.5
206,1.0833333333333335
207,4.833333333333334
208,1.75
209,1.0
210,1.25
211,3.25
212,4.416666666666667
213,1.8333333333333333
214,4.25
215,3.583333333333333
216,3.916666666666667
217,4.9
218,4.75
219,2.75
220,1.0
221,2.083333333333333
222,2.4166666666666665
223,4.916666666666666
224,1.4166666666666665
225,4.416666666666667
226,2.0
227,4.083333333333333
228,1.5
229,4.035714285714286
230,1.5
231,1.5714285714285714
232,1.0
233,1.1666666666666665
234,4.285714285714286
235,1.0
236,4.666666666666666
237,4.333333333333333
238,1.75
239,1.0
240,2.333333333333333
241,1.0
242,4.083333333333333
243,5.0
244,3.1666666666666665
245,1.25
246,4.166666666666666
247,4.083333333333333
248,3.25
249,4.333333333333333
250,2.9642857142857144
251,4.333333333333334
252,1.5833333333333333
253,1.3
254,1.9166666666666665
255,1.5833333333333335
256,4.833333333333334
257,1.75
258,5.0
259,1.0833333333333335
260,3.321428571428571
261,1.6666666666666665
262,1.0833333333333335
263,1.0
264,1.3333333333333335
265,3.5
266,1.9166666666666665
267,1.0
268,1.0
269,1.0
270,1.0
271,1.1666666666666665
272,3.0
273,1.0
274,3.75
275,4.083333333333333
276,1.0833333333333335
277,1.0
278,1.3333333333333335
279,1.25
280,2.4166666666666665
281,1.0833333333333335
282,1.0
283,1.0
284,1.25
285,4.916666666666666
286,1.0833333333333335
287,1.25
288,4.1
289,1.4166666666666665
290,1.1666666666666665
291,1.0
292,4.25
293,4.0
294,1.0
295,4.416666666666667
296,1.4285714285714286
297,4.166666666666667
298,4.333333333333333
299,3.583333333333333
300,4.916666666666666
301,1.4166666666666665
302,4.1
303,1.0833333333333335
304,1.0833333333333335
305,1.35
306,1.0
307,1.1
308,4.25
309,1.5833333333333333
310,2.1666666666666665
311,4.583333333333334
312,4.833333333333334
313,4.166666666666667
314,4.083333333333333
315,1.0
316,1.4166666666666665
317,5.0
318,3.1666666666666665
319,3.0833333333333335
320,4.166666666666667
321,4.083333333333333
322,4.333333333333333
323,1.0
324,2.15
325,2.166666666666667
326,4.8
327,4.75
328,1.6428571428571428
329,1.25
330,2.3333333333333335
331,1.0833333333333335
332,1.25
333,1.0833333333333335
334,1.0833333333333335
335,4.083333333333333
336,1.25
337,2.083333333333333
338,1.0833333333333335
339,1.6666666666666667
340,1.0
341,1.0
342,1.0
343,1.0
344,4.916666666666666
345,1.0833333333333335
346,5.0
347,1.5833333333333335
348,1.25
349,1.0833333333333335
350,1.0
351,1.1666666666666665
352,4.083333333333333
353,2.25
354,1.1666666666666665
355,2.8333333333333335
356,5.0
357,2.583333333333333
358,1.55
359,4.916666666666666
360,3.333333333333333
361,3.1666666666666665
362,3.416666666666667
363,4.1
364,4.0
365,4.25
366,3.5357142857142856
367,2.083333333333333
368,3.833333333333333
369,4.928571428571429
370,4.583333333333334
371,3.75
372,1.0
373,4.416666666666667
374,3.333333333333333
375,1.0
376,4.25
377,1.0
378,3.4
379,1.0833333333333335
380,1.8333333333333335
381,3.5
382,3.5
383,2.166666666666667
384,3.0
385,1.1666666666666665
386,1.1666666666666665
387,1.5
388,3.333333333333333
389,5.0
390,4.166666666666667
391,1.25
392,2.0
393,4.083333333333333
394,4.75
395,4.666666666666666
396,2.75
397,4.5
398,3.1
399,1.0
400,1.0833333333333335
401,4.25
402,4.833333333333334
403,3.333333333333333
404,4.333333333333333
405,1.3928571428571428
406,4.25
407,4.142857142857142
408,1.25
