,ResponseId,overall_score,normal_score,expert_score,diff_normed_score,n_graded,n_ungraded,n_total,mean_score_per_item,mean_diff_normed_score_per_item,accumulated_difficulty
0,R_6hazd14Iv0vRJV7,5.0,4.5,5.5,2.1764309286142427,3,0,3,1.6666666666666667,0.7254769762047476,1.7949073596116214
1,R_5vQ6Xf1WugueDND,10.833333333333332,10.166666666666668,11.5,5.254802656280299,3,1,4,2.708333333333333,1.3137006640700748,2.20149230881929
2,R_5KpdGyLKCFDJS5r,6.916666666666666,6.833333333333333,7.0,3.541811911462251,3,0,3,2.3055555555555554,1.180603970487417,1.6934683087865627
3,R_5hfsgpVmDBRxfr5,16.416666666666668,14.833333333333334,18.0,6.6421700003332855,5,0,5,3.2833333333333337,1.328434000066657,2.9577716910185425
4,R_6Eu2oR7CwVBRwyp,11.749999999999998,11.5,12.0,5.630235432025947,3,1,4,2.9374999999999996,1.4075588580064868,2.2515591592234383
5,R_6D6PBkrChss508l,9.25,9.5,9.0,3.920811737067914,3,0,3,3.0833333333333335,1.3069372456893047,1.7268899334483394
6,R_7LLF8qLJV3UgQE1,10.583333333333332,10.166666666666666,11.0,5.132412612488606,3,0,3,3.5277777777777772,1.7108042041628686,1.6751654487627685
7,R_78Z3gy1mcpQ6lpQ,12.333333333333332,11.666666666666668,13.0,5.556417418857942,3,0,3,4.111111111111111,1.8521391396193139,1.6834301349167853
8,R_5WU8WIr7pguhYVA,8.75,7.5,10.0,4.067032664221916,2,0,2,4.375,2.033516332110958,1.0712636679722836
9,R_59txcXaWbmO04SW,3.3,4.6,2.0,1.3786480905750098,1,1,2,1.65,0.6893240452875049,1.1576893866623128
10,R_7iswQke6K35dZLP,4.6,4.2,5.0,1.9257146833075092,1,0,1,4.6,1.9257146833075092,0.5813663731940197
11,R_6g0EFev6t4FKlcE,11.083333333333334,9.166666666666668,13.0,4.2189500830519115,5,0,5,2.216666666666667,0.8437900166103823,3.1471031462731753
12,R_5mBwuHcjIHstC01,12.357142857142858,11.714285714285714,13.0,4.854153249576475,5,0,5,2.4714285714285715,0.970830649915295,3.0723335955747295
13,R_7sEXibfidLgmOWd,14.833333333333332,14.666666666666664,15.0,5.090584846677992,3,0,3,4.944444444444444,1.6968616155593308,1.971073517943719
14,R_7Y5oIYgYMSPPwIa,9.833333333333332,8.666666666666666,11.0,3.447276504735272,3,0,3,3.2777777777777772,1.1490921682450905,1.928823772706726
15,R_3Jd1uTp9gkuwtOx,13.500000000000002,13.5,13.5,5.863920588434026,6,0,6,2.2500000000000004,0.9773200980723377,3.5427150456986323
16,R_1NOosR37pJud2UA,6.416666666666667,5.333333333333334,7.5,3.102419847910433,2,0,2,3.2083333333333335,1.5512099239552164,1.065164178187715
17,R_16SaFYG3hG62QF3,3.333333333333333,3.6666666666666665,3.0,1.282586696355347,2,0,2,1.6666666666666665,0.6412933481776735,1.2047523740447763
18,R_5Phftz7eKxQRBg1,4.833333333333334,4.666666666666667,5.0,1.9940752358823537,1,0,1,4.833333333333334,1.9940752358823537,0.5874327098174441
19,R_53qZezuj1Aowmel,2.1666666666666665,2.333333333333333,2.0,0.7959627215642846,2,0,2,1.0833333333333333,0.3979813607821423,1.2727984934661414
20,R_5hxwR1AIkCiK5YQ,9.166666666666666,9.333333333333332,9.0,4.46392458608825,4,1,5,1.8333333333333333,0.8927849172176501,2.8988813104659976
21,R_7jrDLd1FIMqRkxj,17.0,15.5,18.5,7.716457709204581,4,0,4,4.25,1.9291144273011454,2.2052340284853864
22,R_5fIoIo9ELuQ1U1M,9.25,8.0,10.5,3.6773680455654696,3,0,3,3.0833333333333335,1.2257893485218232,1.6772270968775107
23,R_35MZhXTsEy0Q8Ct,2.3333333333333335,1.6666666666666667,3.0,0.9768117958806207,1,0,1,2.3333333333333335,0.9768117958806207,0.5813663731940197
24,R_6P7TbV4CF3UQq2I,5.916666666666666,5.833333333333333,6.0,1.9141055609340247,2,0,2,2.958333333333333,0.9570527804670124,1.3600495779708555
25,R_5IME3bnJF5C8vPK,17.383333333333333,16.266666666666666,18.5,7.5445877520419895,5,0,5,3.4766666666666666,1.5089175504083978,2.847612210252679
26,R_7D6TWTVSx8Nbnl3,12.5,9.5,15.5,5.364688011209353,4,0,4,3.125,1.3411720028023382,2.3743436697097806
27,R_3zpB5H3IbG7VP2T,5.833333333333333,5.166666666666666,6.5,2.5704947452562625,2,1,3,1.9444444444444444,0.8568315817520875,1.6354208550325837
28,R_7urH6KcIAcTkWCB,13.5,12.0,15.0,5.653587749042174,4,0,4,3.375,1.4133969372605435,2.3152574643293073
29,R_1mczKBtg2GsAMRr,8.738095238095237,6.976190476190476,10.5,3.441665416440683,3,0,3,2.9126984126984126,1.1472218054802277,1.7971952904268025
30,R_3VJvcRXM4mhNG0x,18.297619047619047,17.09523809523809,19.5,7.306611398784239,4,0,4,4.574404761904762,1.8266528496960597,2.393460500599613
31,R_5iOMXXK1u9zcmXQ,12.75,11.5,14.0,6.510115160130306,3,0,3,4.25,2.170038386710102,1.4944543347199326
32,R_67re1CUSK65lHix,8.583333333333332,7.166666666666666,10.0,3.591941288247376,3,0,3,2.8611111111111107,1.1973137627491253,1.6996598753876224
33,R_1PR4qXLMAceGiOt,10.666666666666666,9.833333333333334,11.5,5.3124985069359125,4,0,4,2.6666666666666665,1.3281246267339781,2.171199777156833
34,R_7ikqRNbiqOG98sh,8.75,8.5,9.0,3.7641195997357695,5,0,5,1.75,0.7528239199471539,3.101959198595471
35,R_3zjUkGkE3FsX1RL,9.547619047619046,9.095238095238095,10.0,3.558750152368763,4,0,4,2.3869047619047614,0.8896875380921907,2.4015737277704976
36,R_5dnySa1ce8EsOdt,2.25,2.5,2.0,0.8457144067156646,2,0,2,1.125,0.4228572033578323,1.2520123258463518
37,R_6VQHLZ7aMXrAeuc,2.1666666666666665,2.333333333333333,2.0,0.924330471447248,2,0,2,1.0833333333333333,0.462165235723624,1.1464583813178435
38,R_7AWa8yqYLHwffXz,6.083333333333332,6.166666666666666,6.0,3.3015120330722363,2,0,2,3.041666666666666,1.6507560165361181,1.0045570399416688
39,R_3fZQKPrA5XxeCM0,21.75,20.0,23.5,9.119290124398564,5,0,5,4.35,1.8238580248797127,2.8924058436122855
40,R_6G88HMPnMd2CyLe,12.633333333333333,14.266666666666666,11.0,5.062223838393691,4,0,4,3.158333333333333,1.2655559595984227,2.313101118533008
41,R_7iwHIm3XZH8niBo,15.416666666666666,14.833333333333332,16.0,5.983986290800105,4,0,4,3.8541666666666665,1.4959965727000262,2.412255717097037
