,gpt4.1,gpt4.1_images,o3_images,o3,gemini_2.0_flash,gemini_2.0_flash_images
0,4.583333333333334,5.0,5.0,5.0,1.8333333333333333,4.75
1,4.75,4.75,4.75,4.75,4.625,1.0833333333333335
2,3.916666666666667,3.333333333333333,3.5,1.0,1.9166666666666665,2.416666666666667
3,3.1666666666666665,1.45,3.1666666666666665,1.6666666666666665,1.7,3.0
4,3.6,1.75,3.416666666666667,1.75,1.125,3.071428571428571
5,4.166666666666667,1.3333333333333335,1.0,2.25,4.166666666666667,1.5833333333333333
6,1.0833333333333335,1.5,3.75,3.125,1.0,1.5833333333333333
7,4.166666666666667,2.875,4.166666666666667,4.166666666666667,4.166666666666667,1.0714285714285714
8,1.0,4.1,4.1,4.1,1.0,1.0
9,1.4166666666666665,1.2,1.0,4.666666666666666,2.0,1.0
10,3.65,4.25,4.75,4.75,2.5,1.9
11,1.5833333333333335,3.5,4.916666666666666,4.916666666666666,1.0,3.0
12,1.5,1.0,1.0,4.833333333333334,1.0,1.0714285714285714
13,1.9166666666666665,1.3333333333333335,4.833333333333334,4.833333333333334,1.55,2.1
14,4.083333333333333,3.05,4.083333333333333,4.083333333333333,4.083333333333333,1.0
15,4.25,4.25,4.25,4.25,4.25,1.0714285714285714
16,1.0833333333333335,1.9166666666666665,1.6666666666666665,4.916666666666666,1.0,1.0
17,1.1666666666666665,1.1666666666666665,2.0,1.5833333333333333,2.9166666666666665,2.0
18,1.85,1.3333333333333335,1.5,1.7857142857142856,1.0833333333333335,1.6666666666666665
19,1.0,2.4642857142857144,1.0,1.0,1.1428571428571428,1.5
20,1.3333333333333335,2.0833333333333335,1.3333333333333335,2.75,1.25,4.25
21,1.1666666666666665,1.0,1.5,2.0,1.25,1.0833333333333335
22,1.0,1.25,1.5,1.5833333333333333,1.0,1.35
23,1.1666666666666665,1.4166666666666665,3.0357142857142856,1.25,1.3333333333333335,1.0714285714285714
24,1.5833333333333335,2.5,4.285714285714286,4.285714285714286,2.333333333333333,1.0
