,o3,o3_pro,o3_images,gpt5,opus,sonnet,gemini_2.0_flash,gemini_2.0_flash_images,gemini_2.5_pro,gemini_3.0_pro,deepseek_r1,qwen_3,qwen_3_vl,gpt_oss_120b,chatgpt-4o,gpt4.1,gpt4.1_images,o4mini_high
0,5.0,5.0,5.0,5.0,5.0,5.0,1.8333333333333333,4.75,5.0,5.0,5.0,2.916666666666667,5.0,3.45,4.5,4.583333333333334,5.0,5.0
1,4.75,4.75,4.75,4.75,4.75,2.9,4.625,1.0833333333333335,4.75,4.75,4.75,4.625,4.75,1.0,4.583333333333334,4.75,4.75,4.75
2,1.0,3.642857142857143,3.5,3.916666666666667,1.45,1.25,1.9166666666666665,2.416666666666667,1.0833333333333335,1.75,1.3,2.45,3.916666666666667,1.3333333333333335,1.35,3.916666666666667,3.333333333333333,3.916666666666667
3,1.6666666666666665,3.25,3.1666666666666665,3.2,3.75,1.1,1.7,3.0,1.0,3.1666666666666665,3.75,1.0,1.2,1.35,3.5,3.1666666666666665,1.45,1.0
4,1.75,3.6,3.416666666666667,3.4,1.25,3.6,1.125,3.071428571428571,1.0833333333333335,3.416666666666667,4.1,1.7,1.0833333333333335,1.2,3.416666666666667,3.6,1.75,1.6666666666666665
5,2.25,3.0,1.0,3.916666666666667,4.083333333333333,4.083333333333333,4.166666666666667,1.5833333333333333,4.083333333333333,4.166666666666667,1.0,2.05,3.7,2.25,1.0,4.166666666666667,1.3333333333333335,2.0
6,3.125,3.75,3.75,3.125,3.125,3.8,1.0,1.5833333333333333,4.25,3.75,1.6666666666666665,3.166666666666667,1.0,4.5,2.833333333333333,1.0833333333333335,1.5,4.416666666666666
7,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,1.0,1.5,4.166666666666667,1.0714285714285714,4.166666666666667,4.166666666666667,1.0,1.1,1.5,1.0,4.166666666666667,4.166666666666667,2.875,1.5
8,4.1,4.1,4.1,4.1,1.0,1.35,1.0,1.0,4.1,1.2,2.4,1.2,1.3,4.1,4.1,1.0,4.1,1.0
9,4.666666666666666,4.666666666666666,1.0,2.1,2.1,4.833333333333334,2.0,1.0,4.666666666666666,4.833333333333334,4.25,2.0,1.1,3.3,4.666666666666666,1.4166666666666665,1.2,2.1
10,4.75,4.75,4.75,4.035714285714286,4.75,4.035714285714286,2.5,1.9,4.75,4.75,1.25,1.7,4.875,2.65,4.75,3.65,4.25,4.75
11,4.916666666666666,4.916666666666666,4.916666666666666,4.916666666666666,1.5,1.5,1.0,3.0,1.0,4.125,1.5,1.2,1.0,1.0,4.916666666666666,1.5833333333333335,3.5,4.916666666666666
12,4.833333333333334,4.833333333333334,1.0,5.0,1.5714285714285714,1.5714285714285714,1.0,1.0714285714285714,1.2142857142857144,5.0,1.0,1.1,4.416666666666667,1.5,1.5833333333333335,1.5,1.0,5.0
