,Model,overall_score,normal_score,expert_score,diff_normed_score,n_graded,n_ungraded,n_total,mean_score_per_item,mean_diff_normed_score_per_item,accumulated_difficulty
0,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),158.81904761904758,146.63809523809522,171.0,61.29232488279952,60,0,60,2.6469841269841266,1.0215387480466587,37.82366231416549
1,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),121.84761904761906,116.6952380952381,127.0,47.116360795256604,60,0,60,2.030793650793651,0.7852726799209434,37.82366231416549
2,Anthropic: Claude Sonnet 4 - Single Context - Extended Thinking 4000t (2025-09-11),128.29285714285717,121.0857142857143,135.5,50.281243377386595,60,0,60,2.138214285714286,0.8380207229564433,37.82366231416549
3,DeepMind: Gemini 2.0 Flash - Multiple Context (2025-07-21),111.79285714285714,106.58571428571429,117.0,42.16876862096212,59,1,60,1.8632142857142857,0.7028128103493686,37.82366231416549
4,DeepMind: Gemini 2.0 Flash - Single Context (2025-07-21),116.18928571428572,108.37857142857143,124.0,44.21780821226039,60,0,60,1.9364880952380952,0.7369634702043398,37.82366231416549
5,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),99.34523809523807,97.69047619047622,101.0,37.082950635259735,38,22,60,1.655753968253968,0.618049177254329,37.82366231416549
6,DeepMind: Gemini 2.5 Pro - Multiple Context - Dynamic Thinking (2025-07-21),136.8928571428571,131.2857142857143,142.5,52.10455223313777,60,0,60,2.2815476190476187,0.8684092038856295,37.82366231416549
7,DeepMind: Gemini 2.5 Pro - Single Context - Dynamic Thinking (2025-07-21),140.1809523809524,131.36190476190473,149.0,53.39424697888632,60,0,60,2.3363492063492064,0.8899041163147721,37.82366231416549
8,OpenAI: ChatGPT-4o - Multiple Context (2025-07-25),132.3488095238095,121.69761904761909,143.0,50.539669285820345,60,0,60,2.2058134920634918,0.8423278214303391,37.82366231416549
9,OpenAI: ChatGPT-4o - Single Context (2025-07-25),119.39999999999996,114.30000000000001,124.5,46.581664606673684,60,0,60,1.9899999999999993,0.7763610767778947,37.82366231416549
10,OpenAI: GPT 4.1 - Multiple Context (2025-07-21),122.44404761904762,107.88809523809526,137.0,46.659501594674325,60,0,60,2.0407341269841273,0.7776583599112388,37.82366231416549
11,OpenAI: GPT 4.1 - Single Context (2025-07-21),132.41785714285717,124.33571428571429,140.5,50.857321933570105,60,0,60,2.206964285714286,0.8476220322261684,37.82366231416549
12,OpenAI: GPT 4.1 w/ GPT-image-1 - Multiple Context (2025-07-21),113.98928571428569,107.47857142857144,120.5,43.036238145099446,58,2,60,1.899821428571428,0.7172706357516574,37.82366231416549
13,OpenAI: GPT 4.1 w/ GPT-Image-1 - Single Context (2025-07-21),115.83809523809522,107.6761904761905,124.0,44.08399344521319,60,0,60,1.9306349206349203,0.7347332240868865,37.82366231416549
14,OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-11),195.4416666666667,175.88333333333335,215.0,75.0278366860928,60,0,60,3.2573611111111114,1.2504639447682133,37.82366231416549
15,OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-15),206.38095238095238,189.76190476190473,223.0,78.0357073694258,60,0,60,3.4396825396825395,1.3005951228237633,37.82366231416549
16,OpenAI: GPT 5 - Multiple Context - Low Reasoning (2025-09-15),151.65238095238095,135.80476190476193,167.5,57.72734743612709,60,0,60,2.5275396825396825,0.9621224572687849,37.82366231416549
17,OpenAI: GPT 5 - Multiple Context - Medium Reasoning (2025-09-16),178.39999999999995,154.29999999999998,202.5,67.68660490317994,60,0,60,2.9733333333333323,1.1281100817196656,37.82366231416549
18,OpenAI: GPT 5 - Multiple Context - Minimal Reasoning (2025-09-16),122.2047619047619,114.9095238095238,129.5,46.11269050188635,60,0,60,2.0367460317460315,0.7685448416981058,37.82366231416549
19,OpenAI: o3 - Multiple Context - High Reasoning (2025-07-21),177.5345238095238,164.5690476190476,190.5,68.20199674268831,60,0,60,2.95890873015873,1.1366999457114717,37.82366231416549
20,OpenAI: o3 - Multiple Context - High Reasoning (2025-09-15),195.8309523809524,176.66190476190476,215.0,74.96612333613464,60,0,60,3.2638492063492066,1.2494353889355774,37.82366231416549
21,OpenAI: o3 - Multiple Context - Low Reasoning (2025-09-12),161.7952380952381,143.5904761904762,180.0,61.132440813464896,60,0,60,2.6965873015873014,1.0188740135577483,37.82366231416549
