,Model,overall_score,normal_score,expert_score,diff_normed_score,n_graded,n_ungraded,n_total,mean_score_per_item,mean_diff_normed_score_per_item,accumulated_difficulty
0,Anthropic: Claude Opus 4.1 - Multiple Context - Extended Thinking 9000t (2025-09-11),114.35238095238095,103.7047619047619,125.0,43.03597842846115,48,0,48,2.38234126984127,0.8965828839262739,30.728025722888507
1,Anthropic: Claude Sonnet 4 - Multiple Context - Extended Thinking 4000t (2025-09-11),94.7547619047619,90.50952380952381,99.0,35.85119585895815,48,0,48,1.9740575396825397,0.7468999137282948,30.728025722888507
2,Anthropic: Claude Sonnet 4 - Single Context - Extended Thinking 4000t (2025-09-11),100.73333333333336,94.46666666666667,107.0,38.76343966287785,48,0,48,2.098611111111112,0.8075716596432886,30.728025722888507
3,DeepMind: Gemini 2.0 Flash - Multiple Context (2025-07-21),95.0761904761905,89.15238095238094,101.0,35.207468207982004,48,0,48,1.9807539682539688,0.733488920999625,30.728025722888507
4,DeepMind: Gemini 2.0 Flash - Single Context (2025-07-21),91.80595238095236,85.61190476190478,98.0,34.15928175085098,48,0,48,1.9126240079365076,0.7116517031427287,30.728025722888507
5,DeepMind: Gemini 2.0 Flash w/ Images - Multiple Context (2025-07-25),78.80714285714284,75.61428571428574,82.0,28.681618566833016,31,17,48,1.6418154761904757,0.5975337201423545,30.728025722888507
6,DeepMind: Gemini 2.5 Pro - Multiple Context - Dynamic Thinking (2025-07-21),105.0178571428571,101.03571428571432,109.0,39.624519420592456,48,0,48,2.187872023809523,0.8255108212623429,30.728025722888507
7,DeepMind: Gemini 2.5 Pro - Single Context - Dynamic Thinking (2025-07-21),110.9309523809524,103.86190476190474,118.0,41.33166689757426,48,0,48,2.3110615079365084,0.8610763936994638,30.728025722888507
8,OpenAI: ChatGPT-4o - Multiple Context (2025-07-25),107.71547619047621,97.93095238095239,117.5,40.13581679729802,48,0,48,2.244072420634921,0.8361628499437087,30.728025722888507
9,OpenAI: ChatGPT-4o - Single Context (2025-07-25),95.05238095238093,89.60476190476192,100.5,35.94060304732174,48,0,48,1.980257936507936,0.7487625634858696,30.728025722888507
