Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
o3_pro,403.7404761904762,361.9809523809524,445.5,120,0,120,3.3645039682539686
o3_high,564.1452380952381,515.7904761904762,612.5,180,0,180,3.134140211640212
o3_images_high,664.1821428571428,604.8642857142858,723.5,240,0,240,2.767425595238095
o3_med,169.26071428571424,153.0214285714286,185.5,60,0,60,2.821011904761904
o3_images_med,164.55119047619047,149.1023809523809,180.0,59,1,60,2.742519841269841
o3_low,161.7952380952381,143.5904761904762,180.0,60,0,60,2.6965873015873014
gpt5_high,401.82261904761907,365.6452380952381,438.0,120,0,120,3.3485218253968254
gpt5_med,178.39999999999995,154.29999999999998,202.5,60,0,60,2.9733333333333323
gpt5_low,151.65238095238095,135.80476190476193,167.5,60,0,60,2.5275396825396825
gpt5_minimal,122.2047619047619,114.9095238095238,129.5,60,0,60,2.0367460317460315
o4mini_high,318.1309523809524,297.7619047619048,338.5,119,1,120,2.65109126984127
o4mini_med,293.70595238095245,275.4119047619048,312.0,120,0,120,2.4475496031746036
