,qwen_3,qwen_3_vl
0,2.916666666666667,5.0
1,4.625,4.75
2,2.45,3.916666666666667
3,1.0,1.2
4,1.7,1.0833333333333335
5,2.05,3.7
6,3.166666666666667,1.0
7,1.1,1.5
8,1.2,1.3
9,2.0,1.1
10,1.7,4.875
11,1.2,1.0
12,1.1,4.416666666666667
13,1.1,1.5833333333333335
14,4.083333333333333,3.85
15,1.625,4.2
16,1.125,2.4
17,1.5833333333333333,1.1666666666666665
18,1.0833333333333335,1.75
19,1.0,1.1
20,1.3,1.35
21,1.1,1.0
22,1.95,1.0
23,1.7,4.75
24,2.3,1.75
25,1.1,1.0
26,1.95,1.5
27,1.125,2.0
28,1.55,4.25
29,1.0,1.0
30,2.85,1.0
31,1.0,3.166666666666667
32,2.15,2.0
33,1.2,1.5
34,1.4166666666666665,1.3333333333333335
35,2.2,3.166666666666667
36,1.1,1.4
37,1.625,1.9
38,1.2,1.25
39,1.0,1.35
40,1.0,1.3
41,1.3,1.3
42,1.6,1.2
43,1.0,1.3
44,1.2,1.3333333333333335
45,1.0,1.0
46,1.0,1.1
47,1.375,5.0
48,1.1,1.2
49,1.1,1.1
50,1.1,1.5833333333333335
51,1.1,1.1666666666666665
52,1.125,1.0
53,3.5,1.6
54,1.1,1.35
55,1.0833333333333335,1.5
56,1.0,1.25
57,1.75,1.95
58,1.3,1.65
