,sonnet_sc,sonnet_mc,gemini_2.0_flash_sc,gemini_2.0_flash_mc,gemini_2.5_pro_sc,gemini_2.5_pro_mc,chatgpt4o_sc,chatgpt4o_mc,gpt4.1_sc,gpt4.1_mc,gpt4.1_images_sc,gpt4.1_images_mc,o3_sc,o3_mc,o3_pro_sc,o3_pro_mc,o4_mini_sc,o4_mini_mc,o4_mini_med_sc,o4_mini_med_mc
0,5.0,5.0,4.583333333333334,1.8333333333333333,5.0,5.0,5.0,4.5,5.0,4.583333333333334,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
1,4.75,2.9,1.35,4.625,4.75,5.0,4.75,4.583333333333334,4.75,4.75,1.35,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
2,1.0,1.25,1.25,1.9166666666666665,1.0833333333333335,1.9166666666666665,1.3333333333333335,1.35,1.0,3.916666666666667,1.4166666666666665,3.333333333333333,1.55,3.5,3.416666666666667,3.642857142857143,1.1666666666666665,3.916666666666667,1.9166666666666665,1.0833333333333335
3,3.75,1.1,1.3333333333333335,1.7,1.0,1.7,1.0,3.5,1.0,3.1666666666666665,3.1666666666666665,1.45,3.75,3.75,3.0,3.25,1.3333333333333335,1.0,1.75,3.1666666666666665
4,3.6,3.6,1.3333333333333335,1.125,1.0833333333333335,1.75,1.25,3.416666666666667,1.25,3.6,1.75,1.75,3.6,2.9,3.833333333333333,3.6,1.25,1.6666666666666665,1.8333333333333335,1.0833333333333335
5,1.0,4.083333333333333,2.0,4.166666666666667,4.083333333333333,2.0,2.25,1.0,4.166666666666667,4.166666666666667,4.083333333333333,1.3333333333333335,2.0,4.083333333333333,3.916666666666667,3.0,3.0,2.0,1.6,4.166666666666667
6,4.416666666666666,3.8,1.0,1.0,4.25,4.416666666666666,1.0,2.833333333333333,4.083333333333333,1.0833333333333335,2.583333333333333,1.5,4.083333333333333,4.416666666666666,3.75,3.75,3.125,4.416666666666666,3.125,4.416666666666666
7,1.35,1.5,1.25,4.166666666666667,4.166666666666667,1.75,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,2.875,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,4.166666666666667,1.5,1.25,1.35
8,1.25,1.35,1.0,1.0,4.1,4.1,4.1,4.1,4.1,1.0,3.25,4.1,4.1,4.1,4.1,4.1,1.6,1.0,1.3333333333333335,4.1
9,4.833333333333334,4.833333333333334,2.3333333333333335,2.0,4.666666666666666,2.25,4.666666666666666,4.666666666666666,1.2,1.4166666666666665,2.25,1.2,4.666666666666666,4.666666666666666,4.833333333333334,4.666666666666666,4.833333333333334,2.1,4.833333333333334,4.833333333333334
10,4.75,4.035714285714286,2.5,2.5,4.75,1.0833333333333335,4.75,4.75,1.3,3.65,2.4166666666666665,4.25,2.4166666666666665,4.75,4.75,4.75,4.75,4.75,4.75,1.6428571428571428
11,1.0,1.5,1.0,1.0,1.0,1.6666666666666665,1.25,4.916666666666666,3.5,1.5833333333333335,3.4166666666666665,3.5,4.714285714285714,4.916666666666666,4.916666666666666,4.916666666666666,3.55,4.916666666666666,1.5833333333333335,1.25
12,2.1,1.5714285714285714,1.35,1.0,1.2142857142857144,1.0,1.5714285714285714,1.5833333333333335,1.35,1.5,1.0,1.0,1.0833333333333335,5.0,4.833333333333334,4.833333333333334,1.25,5.0,1.4166666666666665,1.75
13,1.0,1.9166666666666665,1.25,1.55,1.5,1.4166666666666665,1.0,1.0,1.25,1.9166666666666665,1.0,1.3333333333333335,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334
14,4.083333333333333,1.1,4.083333333333333,4.083333333333333,4.083333333333333,1.6,2.333333333333333,4.083333333333333,1.0833333333333335,4.083333333333333,1.0714285714285714,3.05,4.083333333333333,4.083333333333333,4.083333333333333,2.2,4.083333333333333,4.083333333333333,4.083333333333333,1.25
15,4.25,4.25,4.25,4.25,4.25,1.2,4.25,4.25,1.0,4.25,4.25,4.25,4.25,4.25,2.25,4.25,4.25,4.25,4.25,4.25
16,1.1,1.0,4.9,1.0,2.1666666666666665,4.9,1.1,1.0833333333333335,1.6666666666666665,1.0833333333333335,1.45,1.9166666666666665,4.9,4.916666666666666,4.916666666666666,1.7,4.9,2.4,1.3333333333333335,1.0
17,1.125,1.25,4.916666666666666,2.9166666666666665,2.333333333333333,1.0,1.5833333333333333,2.9166666666666665,1.25,1.1666666666666665,1.0833333333333335,1.1666666666666665,4.916666666666666,4.75,4.75,4.75,1.25,3.4,1.8,2.55
18,1.3,1.5,1.375,1.0833333333333335,2.0,4.0,1.3333333333333335,1.6666666666666665,1.0,1.85,1.35,1.3333333333333335,1.7857142857142856,4.0,4.75,4.75,1.5833333333333335,4.0,1.6666666666666665,1.0
19,1.0,1.0,1.1,1.1428571428571428,1.0,1.0,1.0,1.1428571428571428,1.0,1.0,1.0,2.4642857142857144,1.0,1.2,1.1,1.0,1.4166666666666665,1.25,1.25,4.666666666666666
20,2.0,1.2,1.5,1.25,1.8333333333333335,4.6,1.3333333333333335,1.3333333333333335,1.5,1.3333333333333335,1.3333333333333335,2.0833333333333335,3.5,3.5,3.5,2.75,1.5,1.7,2.05,1.4166666666666665
21,2.05,1.25,2.0833333333333335,1.25,2.583333333333333,2.583333333333333,1.25,1.0,1.3333333333333335,1.1666666666666665,1.25,1.0,3.1666666666666665,1.25,3.1666666666666665,2.583333333333333,1.0833333333333335,1.25,1.25,1.0833333333333335
22,1.0,1.75,1.0,1.0,1.75,1.1666666666666665,1.8333333333333333,3.375,1.1428571428571428,1.0,3.25,1.25,2.6666666666666665,1.95,1.5833333333333333,2.25,4.75,1.0,1.5833333333333333,2.6666666666666665
23,4.75,1.1666666666666665,1.75,1.3333333333333335,3.0357142857142856,3.0357142857142856,1.4166666666666665,1.4166666666666665,3.6,1.1666666666666665,2.833333333333333,1.4166666666666665,3.0357142857142856,4.75,4.75,3.0357142857142856,1.0,3.0357142857142856,4.6,4.75
24,1.25,1.7,1.0,2.333333333333333,1.5,2.0,1.25,1.5833333333333335,1.0,1.5833333333333335,1.4166666666666665,2.5,4.285714285714286,1.75,1.8333333333333335,4.285714285714286,1.5,2.416666666666667,1.0833333333333335,4.285714285714286
25,2.3,1.1,1.0,1.4166666666666665,1.25,2.416666666666667,1.0,2.4,1.25,1.4642857142857144,1.2857142857142856,1.4166666666666665,4.142857142857142,4.142857142857142,4.142857142857142,4.142857142857142,4.5,4.142857142857142,1.4166666666666665,4.142857142857142
26,4.666666666666666,1.3333333333333335,1.0,2.0833333333333335,1.0,1.3333333333333335,3.625,2.1,3.6,2.1,2.0833333333333335,2.0833333333333335,3.625,4.666666666666666,4.666666666666666,3.625,4.833333333333334,3.625,4.5,1.9166666666666665
27,2.15,1.2,3.416666666666667,1.0,1.3333333333333335,3.8,2.1,1.0833333333333335,1.0833333333333335,1.0833333333333335,1.0833333333333335,1.1666666666666665,1.3333333333333335,2.15,4.833333333333334,4.4,4.25,3.8,1.2,4.833333333333334
28,1.0,1.9,4.25,4.25,4.25,1.1666666666666665,1.8333333333333335,4.25,4.333333333333333,4.25,4.25,4.25,2.083333333333333,4.25,4.2,2.75,4.333333333333333,4.333333333333333,2.5,1.0
29,1.65,1.0,1.0,1.0833333333333335,1.5714285714285714,1.0,1.5833333333333335,1.3333333333333335,1.25,1.0,1.25,1.3333333333333335,2.666666666666667,1.9166666666666667,2.666666666666667,2.666666666666667,1.25,1.0833333333333335,1.25,2.35
30,1.25,1.25,1.75,1.25,1.0833333333333335,2.625,1.35,1.5,1.3,1.3333333333333335,1.1,1.5,1.8333333333333333,1.8,1.0,1.0,4.05,1.9166666666666667,1.4166666666666665,1.9166666666666667
31,1.0,2.9642857142857144,3.166666666666667,3.166666666666667,1.6428571428571428,2.9642857142857144,2.9642857142857144,2.9642857142857144,4.05,1.6666666666666665,3.166666666666667,1.6666666666666665,3.166666666666667,3.0,1.5833333333333333,2.9642857142857144,1.5833333333333335,2.9642857142857144,3.166666666666667,2.9642857142857144
32,1.85,1.25,1.3333333333333335,1.0,4.833333333333334,1.5833333333333335,1.75,1.45,1.25,1.9642857142857144,1.6666666666666665,1.35,5.0,5.0,4.916666666666666,5.0,2.416666666666667,1.5833333333333335,1.6428571428571428,1.5833333333333335
33,1.1666666666666665,1.75,1.4642857142857144,2.0,2.0,1.3333333333333335,2.0,1.3333333333333335,1.5,1.25,1.6,1.25,1.4642857142857144,3.25,2.5,4.125,1.75,4.125,3.1,4.583333333333334
34,1.6666666666666665,4.0,4.0,4.0,1.6666666666666665,1.0833333333333335,1.6666666666666665,1.2,1.6666666666666665,4.0,1.0,1.6666666666666667,3.916666666666667,1.75,1.0,1.75,2.25,1.75,1.9166666666666665,1.75
35,1.45,1.3333333333333335,1.3333333333333335,2.6666666666666665,1.45,2.0833333333333335,1.45,2.6666666666666665,1.45,2.6666666666666665,1.25,2.6666666666666665,4.0,1.0833333333333335,1.0,1.9,2.666666666666667,1.0833333333333335,2.25,2.6666666666666665
36,2.3,3.166666666666667,2.416666666666667,1.4166666666666665,2.6666666666666665,3.0,1.8333333333333333,2.5,2.375,2.416666666666667,2.5,2.416666666666667,3.6,2.666666666666667,2.416666666666667,3.6,1.3333333333333335,3.25,2.666666666666667,2.666666666666667
37,1.4166666666666665,1.4166666666666665,1.0833333333333335,1.5,1.4166666666666665,1.6428571428571428,1.0,1.7,2.75,1.0,1.2142857142857144,1.3333333333333335,3.821428571428571,3.75,1.6666666666666665,3.75,1.3333333333333335,1.4166666666666665,1.0833333333333335,1.4166666666666665
