Model,overall_score,normal_score,expert_score,n_graded,n_ungraded,n_total,mean_score_per_item
sonnet_sc,128.29285714285717,121.0857142857143,135.5,60,0,60,2.138214285714286
sonnet_mc,121.84761904761906,116.6952380952381,127.0,60,0,60,2.030793650793651
gemini_2.0_flash_sc,116.18928571428572,108.37857142857143,124.0,60,0,60,1.9364880952380952
gemini_2.0_flash_mc,111.79285714285714,106.58571428571429,117.0,59,1,60,1.8632142857142857
gemini_2.5_pro_sc,140.1809523809524,131.36190476190473,149.0,60,0,60,2.3363492063492064
gemini_2.5_pro_mc,136.8928571428571,131.2857142857143,142.5,60,0,60,2.2815476190476187
chatgpt4o_sc,119.39999999999996,114.30000000000001,124.5,60,0,60,1.9899999999999993
chatgpt4o_mc,132.3488095238095,121.69761904761909,143.0,60,0,60,2.2058134920634918
gpt4.1_sc,132.41785714285717,124.33571428571429,140.5,60,0,60,2.206964285714286
gpt4.1_mc,122.44404761904762,107.88809523809526,137.0,60,0,60,2.0407341269841273
gpt4.1_images_sc,115.83809523809522,107.6761904761905,124.0,60,0,60,1.9306349206349203
gpt4.1_images_mc,113.98928571428569,107.47857142857144,120.5,58,2,60,1.899821428571428
o3_sc,190.77976190476193,174.55952380952377,207.0,60,0,60,3.1796626984126988
o3_mc,373.3654761904762,341.2309523809524,405.5,120,0,120,3.1113789682539683
o3_pro_sc,200.23095238095237,179.96190476190475,220.5,60,0,60,3.3371825396825394
o3_pro_mc,396.1119047619048,352.7238095238095,439.5,120,0,120,3.30093253968254
o4_mini_sc,146.17976190476193,138.85952380952384,153.5,59,1,60,2.4363293650793656
o4_mini_mc,171.95119047619048,158.90238095238095,185.0,60,0,60,2.8658531746031746
o4_mini_med_sc,136.34285714285716,128.6857142857143,144.0,60,0,60,2.2723809523809524
o4_mini_med_mc,157.36309523809527,146.72619047619048,168.0,60,0,60,2.6227182539682543
