,ResponseId,block,block_num,repeat_index,qid,label,score,raw
0,R_10qMKOFXS2FbriN,b2,2,1,8,H,2,A little
1,R_10qMKOFXS2FbriN,b3,3,1,28,doorway,1,Not at all
2,R_10qMKOFXS2FbriN,b4,4,1,56,music notes,5,Completely
3,R_10qMKOFXS2FbriN,b4,4,2,59,spectacles,1,Not at all
4,R_10qMKOFXS2FbriN,b10,10,1,146,cyrillic letter,5,Completely
5,R_10qMKOFXS2FbriN,b11,11,1,181,trident,4,A lot
6,R_10qMKOFXS2FbriN,b13,13,1,211,door hinge,1,Not at all
7,R_10qMKOFXS2FbriN,b16,16,1,275,cube,1,Not at all
8,R_10qMKOFXS2FbriN,b19,19,1,357,butterfly,1,Not at all
9,R_10qMKOFXS2FbriN,b19,19,2,360,circle,1,Not at all
10,R_10qMKOFXS2FbriN,b21,21,1,438,headphones,1,Not at all
11,R_10qMKOFXS2FbriN,b24,24,1,523,pipe fitting,1,Not at all
12,R_10qMKOFXS2FbriN,b25,25,1,552,number 4,2,A little
13,R_10qMKOFXS2FbriN,b26,26,1,573,pickaxe,2,A little
14,R_10qMKOFXS2FbriN,b28,28,1,616,owl,1,Not at all
15,R_10qMKOFXS2FbriN,b28,28,2,618,ribbon,1,Not at all
16,R_10qMKOFXS2FbriN,b29,29,1,621,arch,1,Not at all
17,R_10qMKOFXS2FbriN,b29,29,2,624,bed,1,Not at all
18,R_10qMKOFXS2FbriN,b29,29,3,625,boat,2,A little
19,R_10qMKOFXS2FbriN,b31,31,1,684,female symbol,1,Not at all
20,R_10qMKOFXS2FbriN,b34,34,1,764,heart,1,Not at all
21,R_10qMKOFXS2FbriN,b40,40,1,906,goal post,1,Not at all
22,R_10qMKOFXS2FbriN,b43,43,1,984,keyhole,1,Not at all
23,R_10qMKOFXS2FbriN,b43,43,2,992,royal scepter,1,Not at all
24,R_10qMKOFXS2FbriN,b46,46,1,1065,bridge,1,Not at all
25,R_10qMKOFXS2FbriN,b49,49,1,1165,heart,3,Moderately
26,R_10qMKOFXS2FbriN,b50,50,1,1184,human sketch,5,Completely
27,R_10qMKOFXS2FbriN,b53,53,1,1244,desk lamp,1,Not at all
28,R_10qMKOFXS2FbriN,b56,56,1,1315,tabacco pipe,1,Not at all
29,R_10qMKOFXS2FbriN,b57,57,1,1320,Electric symbol,1,Not at all
30,R_11AVUD0vk8t74Cu,b3,3,1,1389,heart,1,Not at all
31,R_11AVUD0vk8t74Cu,b4,4,1,1404,TIE fighter,2,A little
32,R_11AVUD0vk8t74Cu,b8,8,1,1427,winged scepter,2,A little
33,R_11AVUD0vk8t74Cu,b10,10,1,1443,comb teeth,1,Not at all
34,R_11AVUD0vk8t74Cu,b10,10,2,1447,Fork and trident,5,Completely
35,R_11AVUD0vk8t74Cu,b12,12,1,1461,lying person,1,Not at all
36,R_11AVUD0vk8t74Cu,b14,14,1,1476,Horseshoe magnet,1,Not at all
37,R_11AVUD0vk8t74Cu,b14,14,2,1477,Skull,1,Not at all
38,R_11AVUD0vk8t74Cu,b16,16,1,1498,church bell,1,Not at all
39,R_11AVUD0vk8t74Cu,b18,18,1,1512,Umbrella,1,Not at all
40,R_11AVUD0vk8t74Cu,b25,25,1,1583,Flagpole signpost,1,Not at all
41,R_11AVUD0vk8t74Cu,b27,27,1,1602,battery symbol,3,Moderately
42,R_11AVUD0vk8t74Cu,b34,34,1,1672,glasses,1,Not at all
43,R_11AVUD0vk8t74Cu,b36,36,1,1670,chickenfoot,4,A lot
44,R_11AVUD0vk8t74Cu,b37,37,1,1690,snowman,1,Not at all
45,R_11AVUD0vk8t74Cu,b38,38,1,1697,club symbol,1,Not at all
46,R_11AVUD0vk8t74Cu,b38,38,2,1698,snowman face,1,Not at all
47,R_11AVUD0vk8t74Cu,b38,38,3,1699,club,1,Not at all
48,R_11AVUD0vk8t74Cu,b39,39,1,1713,ice cream scoops in a cone,3,Moderately
49,R_11AVUD0vk8t74Cu,b42,42,1,1734,window pane,5,Completely
50,R_11AVUD0vk8t74Cu,b45,45,1,1756,golf club,1,Not at all
51,R_11AVUD0vk8t74Cu,b47,47,1,1772,snail shell,1,Not at all
52,R_11AVUD0vk8t74Cu,b49,49,1,1791,heart arrow,3,Moderately
53,R_11AVUD0vk8t74Cu,b49,49,2,1794,Arrow key,1,Not at all
54,R_11AVUD0vk8t74Cu,b51,51,1,1806,tripod camera,2,A little
55,R_11AVUD0vk8t74Cu,b53,53,1,1820,hammer,1,Not at all
56,R_11AVUD0vk8t74Cu,b53,53,2,1826,teapot,1,Not at all
57,R_11AVUD0vk8t74Cu,b55,55,1,1848,spade symbol,1,Not at all
58,R_11AVUD0vk8t74Cu,b55,55,2,1850,table lamp,2,A little
59,R_11AVUD0vk8t74Cu,b57,57,1,1912,Rotated grid,2,A little
60,R_11HtlQVZRVeNDLJ,b3,3,1,29,dried,2,A little
61,R_11HtlQVZRVeNDLJ,b5,5,1,80,tongs,2,A little
62,R_11HtlQVZRVeNDLJ,b7,7,1,107,arrow,5,Completely
63,R_11HtlQVZRVeNDLJ,b11,11,1,175,interval graph,1,Not at all
64,R_11HtlQVZRVeNDLJ,b17,17,1,301,chalice,2,A little
65,R_11HtlQVZRVeNDLJ,b21,21,1,424,circles,2,A little
66,R_11HtlQVZRVeNDLJ,b22,22,1,472,play button,4,A lot
