,ResponseId,block,block_num,repeat_index,qid,label,score,raw
0,R_17vf6ukupwbbFCy,b6,6,1,1893,Digit 8,1,Not at all
1,R_17vf6ukupwbbFCy,b9,9,1,1894,owl face,1,Not at all
2,R_17vf6ukupwbbFCy,b10,10,1,1895,inverted comb,1,Not at all
3,R_17vf6ukupwbbFCy,b13,13,1,1896,greek phi,1,Not at all
4,R_17vf6ukupwbbFCy,b16,16,1,1897,map pin,4,A lot
5,R_17vf6ukupwbbFCy,b17,17,1,1898,martini glass,1,Not at all
6,R_17vf6ukupwbbFCy,b17,17,2,1899,arch bridge,2,A little
7,R_17vf6ukupwbbFCy,b18,18,1,1900,wine glass,1,Not at all
8,R_17vf6ukupwbbFCy,b26,26,1,1901,slingshot,1,Not at all
9,R_17vf6ukupwbbFCy,b26,26,2,1902,broken arrow,3,Moderately
10,R_17vf6ukupwbbFCy,b27,27,1,1903,X,1,Not at all
11,R_17vf6ukupwbbFCy,b28,28,1,1904,face with eyes,3,Moderately
12,R_17vf6ukupwbbFCy,b29,29,1,1905,mushroom,1,Not at all
13,R_17vf6ukupwbbFCy,b32,32,1,1906,table lamp,5,Completely
14,R_17vf6ukupwbbFCy,b37,37,1,1907,3 leaf clover,5,Completely
15,R_17vf6ukupwbbFCy,b43,43,1,1908,key,1,Not at all
16,R_17vf6ukupwbbFCy,b44,44,1,1909,question mark,1,Not at all
17,R_17vf6ukupwbbFCy,b46,46,1,1910,arch bridge,1,Not at all
18,R_17vf6ukupwbbFCy,b55,55,1,1911,Capital T,1,Not at all
19,R_17vf6ukupwbbFCy,b57,57,1,1912,Rotated grid,1,Not at all
20,R_1H81dhx7ezoKqJo,b1,1,1,1,door knob,1,Not at all
21,R_1H81dhx7ezoKqJo,b1,1,2,2,ladder,5,Completely
22,R_1H81dhx7ezoKqJo,b1,1,3,3,stacked H's,1,Not at all
23,R_1H81dhx7ezoKqJo,b1,1,4,4,tower,2,A little
24,R_1H81dhx7ezoKqJo,b1,1,5,5,train track,5,Completely
25,R_1H81dhx7ezoKqJo,b1,1,6,6,two squares,1,Not at all
26,R_1H81dhx7ezoKqJo,b2,2,1,7,comb,1,Not at all
27,R_1H81dhx7ezoKqJo,b2,2,2,8,H,1,Not at all
28,R_1H81dhx7ezoKqJo,b2,2,3,9,hash,1,Not at all
29,R_1H81dhx7ezoKqJo,b2,2,4,10,ladder,5,Completely
30,R_1H81dhx7ezoKqJo,b2,2,5,11,number 10,1,Not at all
31,R_1H81dhx7ezoKqJo,b2,2,6,12,sideways H,1,Not at all
32,R_1H81dhx7ezoKqJo,b2,2,7,13,stairs,3,Moderately
33,R_1H81dhx7ezoKqJo,b2,2,8,14,train tracks,5,Completely
34,R_1H81dhx7ezoKqJo,b2,2,9,15,two attached triangles,1,Not at all
35,R_1H81dhx7ezoKqJo,b2,2,10,16,two boxes,2,A little
36,R_1H81dhx7ezoKqJo,b2,2,11,17,zibracrossing,3,Moderately
37,R_1H81dhx7ezoKqJo,b3,3,1,18,ballet shoes,1,Not at all
38,R_1H81dhx7ezoKqJo,b3,3,2,19,barbell,1,Not at all
39,R_1H81dhx7ezoKqJo,b3,3,3,20,bd,1,Not at all
40,R_1H81dhx7ezoKqJo,b3,3,4,21,bed,1,Not at all
41,R_1H81dhx7ezoKqJo,b3,3,5,22,bra,5,Completely
42,R_1H81dhx7ezoKqJo,b3,3,6,23,broom,1,Not at all
43,R_1H81dhx7ezoKqJo,b3,3,7,24,butterfly,1,Not at all
44,R_1H81dhx7ezoKqJo,b3,3,8,25,cherry,3,Moderately
45,R_1H81dhx7ezoKqJo,b3,3,9,26,Circles,1,Not at all
46,R_1H81dhx7ezoKqJo,b3,3,10,27,cup,1,Not at all
47,R_1H81dhx7ezoKqJo,b3,3,11,28,doorway,3,Moderately
48,R_1H81dhx7ezoKqJo,b3,3,12,29,dried,1,Not at all
49,R_1H81dhx7ezoKqJo,b3,3,13,30,dumbbell,1,Not at all
50,R_1H81dhx7ezoKqJo,b3,3,14,31,eye glasses,5,Completely
51,R_1H81dhx7ezoKqJo,b3,3,15,32,fancy binoculars,5,Completely
52,R_1H81dhx7ezoKqJo,b3,3,16,33,female torso,5,Completely
53,R_1H81dhx7ezoKqJo,b3,3,17,34,glasses,5,Completely
54,R_1H81dhx7ezoKqJo,b3,3,18,35,hook,1,Not at all
55,R_1H81dhx7ezoKqJo,b3,3,19,36,key,1,Not at all
56,R_1H81dhx7ezoKqJo,b3,3,20,37,poll,3,Moderately
57,R_1H81dhx7ezoKqJo,b3,3,21,38,pulley,4,A lot
58,R_1H81dhx7ezoKqJo,b3,3,22,39,spade,1,Not at all
59,R_1H81dhx7ezoKqJo,b3,3,23,40,spectacles,5,Completely
60,R_1H81dhx7ezoKqJo,b3,3,24,41,umbrella,1,Not at all
61,R_1H81dhx7ezoKqJo,b3,3,25,42,wine glass,1,Not at all
62,R_1H81dhx7ezoKqJo,b4,4,1,43,ant,2,A little
63,R_1H81dhx7ezoKqJo,b4,4,2,44,bed,1,Not at all
64,R_1H81dhx7ezoKqJo,b4,4,3,45,belly button,1,Not at all
65,R_1H81dhx7ezoKqJo,b4,4,4,46,bra,5,Completely
66,R_1H81dhx7ezoKqJo,b4,4,5,47,butterfly,1,Not at all
67,R_1H81dhx7ezoKqJo,b4,4,6,48,cherries,3,Moderately
68,R_1H81dhx7ezoKqJo,b4,4,7,49,dumbbell,1,Not at all
69,R_1H81dhx7ezoKqJo,b4,4,8,50,eyeglasses,5,Completely
70,R_1H81dhx7ezoKqJo,b4,4,9,51,glasses,5,Completely
71,R_1H81dhx7ezoKqJo,b4,4,10,52,goal posts,3,Moderately
72,R_1H81dhx7ezoKqJo,b4,4,11,53,goggles,5,Completely
73,R_1H81dhx7ezoKqJo,b4,4,12,54,heart,1,Not at all
74,R_1H81dhx7ezoKqJo,b4,4,13,55,hummer,1,Not at all
75,R_1H81dhx7ezoKqJo,b4,4,14,56,music notes,2,A little
76,R_1H81dhx7ezoKqJo,b4,4,15,57,owl,2,A little
77,R_1H81dhx7ezoKqJo,b4,4,16,58,pulley,4,A lot
78,R_1H81dhx7ezoKqJo,b4,4,17,59,spectacles,5,Completely
79,R_1H81dhx7ezoKqJo,b4,4,18,60,stingray,1,Not at all
80,R_1H81dhx7ezoKqJo,b4,4,19,61,tongs,1,Not at all
81,R_1H81dhx7ezoKqJo,b4,4,20,62,two ds,1,Not at all
82,R_1H81dhx7ezoKqJo,b5,5,1,63,bd,1,Not at all
83,R_1H81dhx7ezoKqJo,b5,5,2,64,bed,1,Not at all
84,R_1H81dhx7ezoKqJo,b5,5,3,65,belly button,1,Not at all
85,R_1H81dhx7ezoKqJo,b5,5,4,66,bra,5,Completely
86,R_1H81dhx7ezoKqJo,b5,5,5,67,butterfly,1,Not at all
87,R_1H81dhx7ezoKqJo,b5,5,6,68,chair,1,Not at all
88,R_1H81dhx7ezoKqJo,b5,5,7,69,cherry,3,Moderately
89,R_1H81dhx7ezoKqJo,b5,5,8,70,db,1,Not at all
90,R_1H81dhx7ezoKqJo,b5,5,9,71,dumbbell,1,Not at all
91,R_1H81dhx7ezoKqJo,b5,5,10,72,glasses,5,Completely
92,R_1H81dhx7ezoKqJo,b5,5,11,73,handcuffs,1,Not at all
93,R_1H81dhx7ezoKqJo,b5,5,12,74,joined letters,1,Not at all
94,R_1H81dhx7ezoKqJo,b5,5,13,75,key,1,Not at all
95,R_1H81dhx7ezoKqJo,b5,5,14,76,letter D,1,Not at all
96,R_1H81dhx7ezoKqJo,b5,5,15,77,minor note,2,A little
97,R_1H81dhx7ezoKqJo,b5,5,16,78,pulley,4,A lot
98,R_1H81dhx7ezoKqJo,b5,5,17,79,scissors,1,Not at all
99,R_1H81dhx7ezoKqJo,b5,5,18,80,tongs,1,Not at all
100,R_1H81dhx7ezoKqJo,b5,5,19,81,two chairs,2,A little
101,R_1H81dhx7ezoKqJo,b5,5,20,82,two lungs,3,Moderately
102,R_1H81dhx7ezoKqJo,b5,5,21,83,vase,1,Not at all
103,R_1H81dhx7ezoKqJo,b5,5,22,84,woman,3,Moderately
104,R_1H81dhx7ezoKqJo,b6,6,1,85,ant,2,A little
105,R_1H81dhx7ezoKqJo,b6,6,2,86,barbell,1,Not at all
106,R_1H81dhx7ezoKqJo,b6,6,3,87,batman mask,2,A little
107,R_1H81dhx7ezoKqJo,b6,6,4,88,bed,1,Not at all
108,R_1H81dhx7ezoKqJo,b6,6,5,89,binoculars,4,A lot
109,R_1H81dhx7ezoKqJo,b6,6,6,90,bra,5,Completely
110,R_1H81dhx7ezoKqJo,b6,6,7,91,circle,1,Not at all
111,R_1H81dhx7ezoKqJo,b6,6,8,92,controller,1,Not at all
112,R_1H81dhx7ezoKqJo,b6,6,9,93,glasses,5,Completely
113,R_1H81dhx7ezoKqJo,b6,6,10,94,goal post,4,A lot
114,R_1H81dhx7ezoKqJo,b6,6,11,95,goggles,5,Completely
115,R_1H81dhx7ezoKqJo,b6,6,12,96,handcuffs,1,Not at all
116,R_1H81dhx7ezoKqJo,b6,6,13,97,hourglass,1,Not at all
117,R_1H81dhx7ezoKqJo,b6,6,14,98,house,1,Not at all
118,R_1H81dhx7ezoKqJo,b6,6,15,99,infinity sign,1,Not at all
119,R_1H81dhx7ezoKqJo,b6,6,16,100,insect head,2,A little
120,R_1H81dhx7ezoKqJo,b6,6,17,101,owl,3,Moderately
121,R_1H81dhx7ezoKqJo,b6,6,18,102,percentage sign,1,Not at all
122,R_1H81dhx7ezoKqJo,b6,6,19,103,shades,5,Completely
123,R_1H81dhx7ezoKqJo,b6,6,20,104,snail,1,Not at all
124,R_1H81dhx7ezoKqJo,b6,6,21,105,snowman,1,Not at all
125,R_1H81dhx7ezoKqJo,b6,6,22,106,spetacle,5,Completely
126,R_1H81dhx7ezoKqJo,b7,7,1,107,arrow,5,Completely
127,R_1H81dhx7ezoKqJo,b7,7,2,108,hourglass,1,Not at all
128,R_1H81dhx7ezoKqJo,b7,7,3,109,railroad track,1,Not at all
129,R_1H81dhx7ezoKqJo,b7,7,4,110,rocket exhaust,2,A little
130,R_1H81dhx7ezoKqJo,b7,7,5,111,skewered chevron,5,Completely
131,R_1H81dhx7ezoKqJo,b7,7,6,112,spear,5,Completely
132,R_1H81dhx7ezoKqJo,b7,7,7,113,spire,4,A lot
133,R_1H81dhx7ezoKqJo,b7,7,8,114,star,1,Not at all
134,R_1H81dhx7ezoKqJo,b7,7,9,115,stick figure,1,Not at all
135,R_1H81dhx7ezoKqJo,b7,7,10,116,tent,1,Not at all
