,ResponseId,VVIQ_sum,VVIQ_mean,VVIQ_std,VVIQ - 01,VVIQ - 02,VVIQ - 03,VVIQ - 04,VVIQ - 05,VVIQ - 06,VVIQ - 07,VVIQ - 08,VVIQ - 09,VVIQ - 10,VVIQ - 11,VVIQ - 12,VVIQ - 13,VVIQ - 14,VVIQ - 15,VVIQ - 16
0,R_6hazd14Iv0vRJV7,56,3.5,1.8257418583505538,1,1,4,3,5,5,5,5,1,1,4,1,5,5,5,5
1,R_5vQ6Xf1WugueDND,70,4.375,0.7187952884282608,3,4,3,4,4,5,5,5,5,5,4,4,5,5,5,4
2,R_5KpdGyLKCFDJS5r,61,3.8125,1.5152007567755943,4,2,1,3,5,5,5,5,5,5,2,5,1,5,4,4
3,R_5hfsgpVmDBRxfr5,45,2.8125,0.4031128874149275,3,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3
4,R_6Eu2oR7CwVBRwyp,56,3.5,0.816496580927726,3,4,3,3,4,5,5,5,3,3,3,3,3,3,3,3
5,R_6D6PBkrChss508l,71,4.4375,0.6291528696058958,5,4,5,5,4,5,5,4,4,4,3,5,5,5,4,4
6,R_7LLF8qLJV3UgQE1,56,3.5,0.8944271909999159,3,4,2,4,4,5,4,4,4,2,4,2,4,3,3,4
7,R_78Z3gy1mcpQ6lpQ,35,2.1875,0.8341662504161466,3,2,1,1,3,2,2,1,3,1,3,3,3,2,3,2
8,R_5WU8WIr7pguhYVA,39,2.4375,0.6291528696058958,3,2,2,2,3,3,3,3,3,2,2,2,3,2,3,1
9,R_59txcXaWbmO04SW,66,4.125,0.5,5,4,4,5,4,4,3,5,4,4,4,4,4,4,4,4
10,R_7iswQke6K35dZLP,48,3.0,0.6324555320336759,3,2,4,4,3,3,2,3,4,3,3,3,3,2,3,3
11,R_6g0EFev6t4FKlcE,62,3.875,0.806225774829855,4,4,4,4,5,4,5,5,3,3,3,2,4,4,4,4
12,R_5mBwuHcjIHstC01,50,3.125,0.806225774829855,2,4,2,4,3,4,3,2,3,4,3,2,3,4,4,3
13,R_7sEXibfidLgmOWd,47,2.9375,0.25,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
14,R_7Y5oIYgYMSPPwIa,54,3.375,0.806225774829855,5,4,4,2,4,3,4,3,4,3,4,3,3,3,2,3
15,R_3Jd1uTp9gkuwtOx,49,3.0625,0.7719024117939607,2,3,2,2,3,4,3,3,4,4,4,4,3,3,2,3
16,R_1NOosR37pJud2UA,57,3.5625,0.963932916061417,4,4,2,4,4,4,5,4,3,2,3,2,3,4,5,4
17,R_16SaFYG3hG62QF3,53,3.3125,0.9464847243000456,3,4,2,5,3,3,5,4,2,3,4,3,3,4,3,2
18,R_5Phftz7eKxQRBg1,50,3.125,0.6191391873668903,4,3,3,2,3,3,3,3,4,4,3,4,3,2,3,3
19,R_53qZezuj1Aowmel,49,3.0625,0.9287087810503355,4,3,2,4,3,4,5,2,2,2,3,3,3,4,3,2
20,R_5hxwR1AIkCiK5YQ,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,R_7jrDLd1FIMqRkxj,60,3.75,1.1254628677422756,4,4,2,5,4,5,2,4,4,2,5,4,4,5,4,2
22,R_5fIoIo9ELuQ1U1M,50,3.125,1.3601470508735443,5,2,1,2,4,3,2,5,5,4,3,4,4,3,1,2
23,R_35MZhXTsEy0Q8Ct,61,3.8125,1.42448821218944,5,5,4,5,4,1,2,4,5,5,5,5,3,4,3,1
24,R_6P7TbV4CF3UQq2I,42,2.625,0.806225774829855,4,3,2,3,2,2,2,1,3,3,2,3,3,3,4,2
25,R_5IME3bnJF5C8vPK,23,1.4375,0.6291528696058958,2,3,1,1,2,1,1,2,2,1,2,1,1,1,1,1
26,R_7D6TWTVSx8Nbnl3,77,4.8125,0.4031128874149275,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4
27,R_3zpB5H3IbG7VP2T,66,4.125,0.9574271077563381,5,4,4,3,5,5,3,2,5,5,5,5,4,4,4,3
28,R_7urH6KcIAcTkWCB,71,4.4375,0.6291528696058958,4,5,5,4,5,4,4,5,4,4,5,5,4,5,5,3
29,R_1mczKBtg2GsAMRr,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,R_3VJvcRXM4mhNG0x,52,3.25,0.7745966692414834,4,4,3,3,3,3,3,4,3,2,2,2,4,4,4,4
31,R_5iOMXXK1u9zcmXQ,58,3.625,0.9574271077563381,3,2,3,2,4,3,4,4,5,3,4,5,3,5,4,4
32,R_67re1CUSK65lHix,80,5.0,0.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
33,R_1PR4qXLMAceGiOt,47,2.9375,0.8539125638299665,3,3,2,4,4,5,3,3,3,2,2,3,2,3,3,2
34,R_7ikqRNbiqOG98sh,51,3.1875,1.558578412100805,4,4,1,1,5,1,1,5,1,4,4,4,4,4,4,4
35,R_3zjUkGkE3FsX1RL,50,3.125,0.8850612031567836,3,2,1,3,4,4,4,4,3,2,3,3,3,4,4,3
36,R_5dnySa1ce8EsOdt,46,2.875,0.6191391873668903,4,3,2,3,3,3,4,2,3,3,2,3,2,3,3,3
37,R_6VQHLZ7aMXrAeuc,64,4.0,0.3651483716701107,4,4,4,3,4,4,4,4,4,5,4,4,4,4,4,4
38,R_7AWa8yqYLHwffXz,55,3.4375,1.0935416468216166,3,2,3,2,3,4,2,4,4,4,4,5,2,5,5,3
