model,statistic,p.value,p_adj_bonferroni,p_adj_fdr,effsize,magnitude,significance
gemini_3.0_pro,85943,2.145127666142304e-12,3.861229799056147e-11,3.861229799056147e-11,0.176393305675743,small,***
gemini_2.0_flash,111877.5,8.96279564523291e-10,1.6133032161419237e-8,8.066516080709619e-9,0.15689569270752352,small,***
qwen_3,59864.5,7.312670442811964e-9,1.3162806797061534e-7,4.387602265687178e-8,0.15110883672680134,small,***
gpt4.1_images,108573.5,2.3128290000050978e-8,4.163092200009176e-7,1.040773050002294e-7,0.1431131821400294,small,***
chatgpt-4o,107121.5,8.683305473814911e-7,1.562994985286684e-5,3.125989970573368e-6,0.1259330733769432,small,***
gpt4.1,106458,1.791329608865399e-6,3.2243932959577184e-5,5.373988826596197e-6,0.12225440433595934,small,***
sonnet,105384,5.53711354681958e-6,9.966804384275245e-5,1.4238291977536065e-5,0.11630752856240188,small,***
gpt_oss_120b,53226.5,2.5218774336290317e-5,4.539379380532257e-4,5.6742242256653214e-5,0.11014595854165869,small,***
o3_pro,103354,6.009192617803237e-5,0.0010816546712045826,1.1891206787240097e-4,0.10075517417729381,small,**
deepseek_r1,54162,6.606225992911165e-5,0.0011891206787240096,1.1891206787240097e-4,0.10424986812382589,small,**
qwen_3_vl,53249,2.1334718991557845e-4,0.0038402494184804122,3.491135834982193e-4,0.09674175487246833,small,**
gpt5,67937,3.87322385811255e-4,0.006971802944602591,5.809835787168826e-4,0.09084266893092176,small,**
gemini_2.0_flash_images,34962.5,0.001129466436054487,0.020330395848980765,0.0015638766037677511,0.08569252060293199,small,*
o3,110881.5,0.006736912281585914,0.12126442106854644,0.008661744362039033,0.06803990968817436,small,ns
gemini_2.5_pro,49385.5,0.024667935116035218,0.4440228320886339,0.02960152213924226,0.05867888550825267,small,ns
o3_images,171586.5,0.6732734300000827,1,0.6732734300000827,0.01039496260494087,small,ns
opus,43909.5,0.5898349793893363,1,0.6245311546475325,0.01408341335236521,small,ns
o4mini_high,87203.5,0.4414742502161746,1,0.4966585314931964,0.01971293273686771,small,ns
